track_id,name,artists,genre,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo
2DB4DdfCFMw1iaR6JaR03a,Bam Bam (feat. Ed Sheeran),Camila Cabello,Pop,0.756,0.697,8,-6.377,1,0.0401,0.182,0.0,0.333,0.956,94.996
3uwnnTQcHM1rDqSfA4gQNz,Cool for the Summer,Demi Lovato,Pop,0.583,0.61,5,-5.639,0,0.0382,0.00425,0.000105,0.14,0.336,114.06
5WtfUKzXircvW8l5aaVZWT,What A Time (feat. Niall Horan),Julia Michaels,Pop,0.516,0.467,0,-6.184,1,0.0302,0.662,0.0,0.0853,0.386,132.861
3e7sxremeOE3wTySiOhGiP,Dusk Till Dawn (feat. Sia) - Radio Edit,ZAYN,Pop,0.259,0.437,11,-6.589,0,0.0386,0.102,1.32e-06,0.106,0.0951,180.042
0wI7QkCcs8FUQE1OkXUIqd,Scars To Your Beautiful,Alessia Cara,Pop,0.573,0.739,0,-5.74,1,0.129,0.0285,0.0,0.111,0.451,97.085
4l0Mvzj72xxOpRrp6h8nHi,Lose You To Love Me,Selena Gomez,Pop,0.488,0.343,4,-8.985,1,0.0436,0.556,0.0,0.21,0.0978,102.819
2m6Ko3CY1qXNNja8AlugNc,Angel Baby,Troye Sivan,Pop,0.559,0.559,11,-6.425,1,0.0358,0.0145,0.0,0.138,0.338,72.498
1rIKgCH4H52lrvDcz50hS8,Lush Life,Zara Larsson,Pop,0.694,0.712,7,-3.923,0,0.046,0.132,0.0,0.211,0.799,98.023
4tCtwWceOPWzenK2HAIJSb,Work from Home (feat. Ty Dolla $ign),Fifth Harmony,Pop,0.803,0.585,8,-5.861,1,0.0432,0.103,3.94e-06,0.0644,0.593,105.017
3zHq9ouUJQFQRf3cm1rRLu,"Love Me Like You Do - From ""Fifty Shades Of Grey""",Ellie Goulding,Pop,0.262,0.606,8,-6.646,1,0.0484,0.247,0.0,0.125,0.275,189.857
6FZDfxM3a3UCqtzo5pxSLZ,Without Me,Halsey,Pop,0.752,0.488,6,-7.05,1,0.0705,0.297,9.11e-06,0.0936,0.533,136.041
5ajjAnNRh8bxFvaVHzpPjh,Reckless,Madison Beer,Pop,0.386,0.426,3,-6.642,1,0.0363,0.807,0.0,0.14,0.261,180.104
